id,text,polarization
en_6713d748ddf1edfcf58c96968f9ea104,another calendar year televised genocide for your entertainment najwahab substack compgenocide palestine israel america lebanon genocide substack christmas newyear,1
en_dcc6c27bb2f1e5b99100dcd9f61ba5a7,gop members reject housing department nominee due,0
en_60d5340f3fe3ad38cbe69d0019e24804,are you suggesting by disallowing humour andor crisps we will solve the middle east crisis,0
en_aaf43c606089ef43afe197da9718e1a9,democrats lose on long island make gains elsewherethe hofstra,0
en_af59846e98b37b687fd36be18f8b598e,the state they want is of the entire land they have no interest in a permanent two state solution that recognizes israel as the other state theyll only agree to a temporary one as they plan for an eventual attack to destroy the jewish state,1
en_73a138b3a5112415bc5594de75dd4662,us seeks israeli approval to arm pa troops in fight against west bank resistance,0
en_53e4630566693fbb681484f4be900c09,impeachment starting yet lets get on with it all the republicans need to go they are all compromised,1
en_a75ebdc1d082aa7c74c2f7aab76eee60,this is something we all need to investigate for ourselves its a coup so dont brush it off as a conspiracy theory youtu be ln qfuddo,0
en_7709df6c8b73a5150c95146f353cbddd,looks like kari lake may be the only magat yelling rigged election,1
en_53b24ea807b20e7bb8751b658027c8bc,i would help refugees around the world,0
en_29243a7ff21a897e85bb4b812b609a5c,middle east crisis one child killed every hour in gaza un says as it happened highlights israeli forces have killed a palestinian man in a dawn raid on a refugee camp near the city of generalnews source the guardian what do you think,0
en_c36104fd0f40730220c8dfa5c710e868,fuck joe biden and kamala harris,1
en_f7f9026c523478d33e0e7d2f07b97dc5,ironic how idf have become the new nazis,1
en_4be15148be76d1831facaafac70893d5,then stop your puppet ukrainian nazis from shelling zaporozhie npp,1
en_086e315426f5141f272131a9d6776602,he should never have been able to run again after the insurrection he should be in prison,1
en_57e77f0b821e062f6ad2d94ae4fe73e7,gop rep elise stefaniks endorsement of kari lake,0
en_be838926af70db3d718b9801e9cbb74e,anyway he just leaked it to breitbart unless you think the fbi would choose breitbart to leak to,0
en_65f1660c6dc15ba86fd8a14dcc67790a,youre a rhodesia supporter a south africa simp go defend the next genocidal apartheid state too,1
en_32c5c34fcd770aec7358d6476b58b4e7,front page news nytimes lets save the country from putin for fvx sake cant the main stream news just once side with america over russian aggression and manipulation sheesh,1
en_2595e7879c9701c01533a57bb1190d84,cbs news has intel that russian commanders have orders to proceed with ukraine invasion,0
en_7b3f143b12003c94acaec63c6daabe85,elon must be investigated for election interference by influencing and spreading misinformation and lies,1
en_b501d3393dc755a300b9860f5c34145d,why is msnbc guest bothsidesing the ukraine invasion what,1
en_f8d378daeefbfa4bb8a132c27999af7c,defense department announces million military aid to ukraine,0
en_20ccff447e99d791ec0188cc265a96f2,dont know about the pockets but in hearts of every idf soldier its never surrender,0
en_68a5450d40e3d737fb2161accb9afba5,and everywhere else they can which is all swing states,0
en_65e1586c7112e5f326cc112c55b4e49a,does sanctions really works ukrainerussiaconflict,0
en_953175fbdf11ba464912586a5b9500da,epic treason by all republicans,1
en_2274f22fc862ec676e58c38d4f926b78,brandeis professor mourns family killed in israel by hamas,0
en_9b040a34fc8ea66733ad3d3da31e0744,idf says it has captured hamas parliament,0
en_a665bccd9739ad1c9469400b3cf0eb80,this is the kind of information that is needed daily so that people can see who is and who is not working as they were elected to do to improve their constituents lives getting rid of citizens united should have been priority one long ago second is getting rid of the electoral college,0
en_b80a7a9a1517fe34e01a9b694fdff53c,so you approve of him calling what is literally know as the hostile environment open borders,0
en_be257843708b499300519ab911e6d131,she does look like a fox news stepford wife,1
en_e07f8115aeb4ee769f54b8eab8ab46dc,people still on this stolen election shit,1
en_ccee10629c5bfb5764e20a2c666188b4,can they tack on the electoral college too,0
en_596d12bd0bf60e77a3989aeb7157ab0f,donald trump testifies in new york fraud trial,0
en_956895798de489463e4d74eaf003cafc,christian nationalism and white nationalism is ironically promulgated by the same demographicgroup,1
en_a08c1dd0f9cb5139b9afc0805f48f548,state police sunny day camp set for september,0
en_b575d9f329e7218d383cbb5b57c86c8b,remember that the frontier of the rebellion is everywhere and even the smallest act of insurrection pushes our lines forward karis nemik andor,0
en_f0d5e316b37b7c87bb5e1f55582b9da8,pbpd officer retires after year career,0
en_69c4710e47172e08e5ba4796dfe69fcd,emily police chief charged with theft from,0
en_8c8afdb0d733f059d1f88ebe791e2b39,id commit war crimes for these guys,1
en_93b5a648a7db6498698c6eed7ca8a2bc,they said voter fraud doesnt exist tho,0
en_60aba2c47bc9ef33cd1fb20a386efbdc,sounds like you have no idea what zionism is thats all,1
en_9dbd4c73d45ebf9ed19e737727157734,thinking about the girl that shouted free palestine when i told her im pakistani,0
en_f5f73cabfd352e8aff3a3ab5d68760b0,let the gop govern by themselves they didnt honor the bipartisan border security bill and now the bipartisan cr hold any democrat liberal and progressive that votes w maga accountable,1
en_e11284491f535cb9030c055c34e3ddf0,donald trump stays on colorado ballot following appeal,0
en_c324e4e092f93c4cad611da1fbba5ffc,not the ethnic cleansing wdrrrr eren,1
en_109a229ce3e6f59df49024087f6a58d9,hugh chatham health receives women s choice award,0
en_0993c8edda59e4ce9a2759a3c53a007d,writers sound off on kamala harris visit sept primary,0
en_d9934de0c6017ea4c6d5f4907e5f03ca,six running on gop ticket to represent sixth district,0
en_38ef2044b611e861d3025dd47c4d7174,fire damages itawamba justice court multiple departments respond,0
en_a9d26199a52e77f444cd3402c3fcb19b,complaint alleges staff at center holding asylum seekers in new mexico deal drugs at the facility,0
en_7f3de8a805f94474ab05f433e7a80ff3,so that leaves only two blue states in the whole country,0
en_f6d9e272a4d188707b7e8be27827e76b,you voted to withhold military aid from ukraine you are the problem,1
en_5ea66ab51cd728ea412cd3c5011b9454,do all the liberal fascists still support nato expansion into ukraine,1
en_514cd3eb47b690b12e5bf927a5f68f61,and check your voter registration details registertovotezw voteforchange vote ccc,0
en_5d2c5a27f0f058d5b12e07b7bffaeaed,because russia has s and will shoot them down ua needs missile defense like iron dome,0
en_b5628bd58827476ed85a28eceae5e9ad,whats happening in israels war against hamas in gaza,0
en_41579f7e610fe78b9c266dc68b7e27d1,iranian missionary works to reach refugees,0
en_75018823570326330e9b2f91e05a9eb5,i write it off to all that illegal immigration ironic huh,0
en_3f9bacc4b53c8cce6c94bfb6df777022,monkees tulsa concert spurred fbi tip propagandatulsa,0
en_a4d74eeb3ff29deb592d962a70337ed1,he added that the issuance of national identity documents was one of the key deliverables of the programme,0
en_af2bd2c49a704abff255d2cbcd2347eb,gop debate offered tuscaloosa a chance,0
en_0c3794e88ac510760d7b3c2c3c64ad38,why should they have to the only point of multiculturalism was to annoy them just ask labor,1
en_3c396e25f2db6a72a21be15cc6e3c190,border security was never the issue the goal is to drum up populist support by attacking canada,1
en_9813aaa606a61f1d1d1531c77cc19e9b,the price america paid for its first big immigration crackdown planet money,0
en_b04568c370b4f1beb69509359b61a666,what do you mean by a jewish state like are you talking a theocracy an ethnocracy what,1
en_5cb77f33e42a0ff0bb5ec46893d30c4c,sometimes history change with some flow eg ukraine invasion by russia,0
en_1db3fa07fe61ed4fa63d4575b8548c83,yevgenia albatss lecture on putins war,0
en_d708e71ffae0fe0034e3bd23e87401a4,suicide would be a good start mean but he deserves it denazification begins at home,1
en_741522e3c337b5cd1f060fe865597d70,new yorks migrant crisis faces uphill climb on capitol hillnewsday,0
en_6c9b82fdc6a58e8c212bde9a071bb77a,not just my theory on votes but the epstein file is just my personal conspiracy theory,0
en_f610de1f2cea9e85c0e10f62f792a74b,election day as national holiday automatic voter registration,0
en_f6e339ef8df5a2ea9f0ff2b8a94c3155,drought ukraine invasion interest rates pressure,0
en_4192ffa8bbd073fb70559ac34cad394b,another casualty of the bidenharris administrations failure they lied for years about the wide open borders,1
en_32fa51d5068c66e188885b8c7d675191,house republicans plot impeachment against judges blocking trump doge the hill,1
en_05db4a75dfb8ee375acf48208da16b5a,stolen election two buffoon and a shit show,1
en_6f6c4c8e770d254de8c3ab70401155d0,maga republicans vs maga democrats microsoft amazon google apple,0
en_f14519ff2302b6cd47712073f13bc461,senate gov theres groups out there republicans democrats and the people if the democrats have little power organize the people,0
en_ef36fff3cb1c092a1a61e401d53f789a,protesters call for a ceasefire in palestine,0
en_05ae23f9d430dbc2a26c6d37f9a46b51,say what you want about the tenets of national socialism dude at least its an ethos,1
en_54d69641d2cbbaaa32c679e22c3613f5,unscientific msm fulled by hate metropolitan ignorant problematic mind virus conspiracy theory senile etc it may be fair sometimes but its worth remembering that this is the same mechanism by which false and ineffective views of reality survive,0
en_516c3b13f575940554ad2086d9292abb,time to put socialism to bed for the last time redwave,1
en_4b3f01d89cbb95e28d782e5b0f3a7be1,more likely states through so new democratic senators and a titanic shift in the electoral college and house tilting left if you add it as one state its california north for the house and electoral college with only new democratic senators,0
en_07b7c5335da8318fe4bc1c9b3f56ad12,hutchinson shuns fireworks in first gop presidential primary,0
en_3940809582d9e75230b7493940e46f6b,kensington evangelical challenging fischbach for gop nodalexandria echo press,0
en_b6d10f9f2d77d3087333b84314f02968,owner of village veterinary clinic denied license,0
en_3e0a611408e56ad364ad14a09b695cdc,topeka democrat hopes to oust gop rep jake laturner,0
en_629d00e4ffa89eb487c2ed9b1eb6af2b,democrats denounce right wing news pipeline used in campaigns,0
en_3f1d7cc3cf5688a962fda4af46c2d054,lady a didnt they change their name to appease the woke mob,1
en_d6b595710d9ed6af1008eaeac0003fd3,the fact that asian and african families are dumped in random nonwhite countries is more proof that trumps immigration policy is firmly rooted in white nationalism,1
en_cc8f85a4a9f6868bc28d3bb9d7e7d2c1,pa gop emails shed new light,0
en_bf9100854faf3ea5c2f3a379a597d94d,im not sure how hes failing border security if theyre stopping more people than before,0
en_52c4f76fd4323e191a118f7c2b94b4e1,israel idf netanyahu benjaminnetanyahu icc gaza palestine genocide,0
en_9d879345bd6e2354b9aca357e1b793d0,exactly states and senators a small amount of candians moving too the swing states can change us politics,0
en_f07688a6a68c0cc0070d2e5281046663,well clearly she is a deep state operative who is a lunatic but besides that they do not care it seems the crazier grosser and hate filled the better,0
en_f6541383b86e645f364b46839ad4dd77,gop to cohost august debate with trump,0
en_d87da90f38a4f313daee4f9225fe1ec5,so voter suppression and book banning isnormal,0
en_514c7010ec3ac1be1a7a447a37371593,five officers injured at auburn correctional facility,0
en_b4b59b05b0e8bdf9847ffd6f13dcfac6,greenwich recounts rtm election results with many races,0
en_2542ab140d462713f02330c3b9c51958,extra mile winners aid refugees and save the citys wetlandsdraper,0
en_c82f66a7b6ac51c3ad72171ffb21942e,trumpism is a mental illness seek help,1
en_b5c9f24e97871290bd9ce96aa31ef9cd,israel at war after hamas launches surprise attack in gazanew york daily,0
en_5358ccfe4bfd1e2070c5365bbf893d9f,pizza gate was debunked like election fraud was debunked,1
en_2c9f6339f30b082d48f5bc59718af602,you mean voter fraud thats red,1
en_c229e5f94c8606525e390ff2dc78533d,gop candidate vivek ramaswamy questioned on,0
en_00092d84d86aab0b71f5ad55952da7ed,conservative values okay junior its an oxymoron and hes just a moron,1
en_56549bca89db0b550e4eda87d4250e8e,i mean the democrats have been using the cheap labor argument to support illegal immigration,1
en_8da778c27ac083570a3d4f7072594cbe,ceasefire and complete withdrawal would be in line with ukraines position,0
en_fa72ef2085d02cc76571c31ff4422528,president joe biden announced a major opinion friday that the equal rights amendment is ratified enshrining its protections into the constitution a lastminute move that some believe could pave the way to bolstering reproductive and lgbtq rights era equalrightsamendment,0
en_9382e300a0d0effef881f901d7c6506e,scotus will ultimately decide the fate of donald trump,0
en_52694ee39e12c8eca931a0f2c19681cc,because it was proliferated by democrats to distract from stolen election,1
en_197cc8750fff01a65af20d4685c3264a,uw regents approves with republicans in new,0
en_c041c6596cdf52dcad3372f3ffdf8a16,kim jong un meets putin us inflation higher than expectedfinancial,0
en_abda73dae820a8815e26a55aecde45b6,i so wanted to back you but you sided with the most anti israeli anti jewish coalition in congress and cried when the iron dome was funded,1
en_c18260a96ad92f59cb8d6d8c0f666d49,my sister doesnt know how kamala harris is,0
en_9558d0d992dbe217b17fbe5b90b24595,trump vows to deport hamas sympathizers restore,1
en_b38d6c5e56cb55578503607c11cfa27b,xenophobia probably has a correlation with fear for shelter,1
en_0afd855984e5a56b057f1042c8cb63a4,when foreign actors do it it becomes a coup attempt,1
en_198fa04f63b55d91a470ff98859231e4,bernardsville democrats back business improvement districtnew jersey hills media group,0
en_ba831b92bfc19e7a3188f8edfd62457b,i disagree ion think its west bank thing,0
en_02eed670f867d340b315aa604011fca7,donald trump speaks at georgia gop convention,0
en_55c2f7b8db4f7bdaa2fb2e7cce547b02,aocbacked starbucks union cheers for hamas terror,1
en_e8215970e38301040ee21a41a868a441,absolutely no evidence of voter fraud democrats,0
en_d1770ca1638a691eb60951db3d1e493c,one of the hamas killers and rapists of shani louk has,0
en_84d496be0604ced7887fbccc24d8038d,deported forcefully abducted displaced as part of ethnic cleansing evacuated is the aggressors narrative ukraineunderattack,1
en_2fc7b6ef4fc45d0309c6a8ddcea3d9d7,so weird trumps fixation on water takes a weird turn with california announcement msnbc,0
en_bc6c8f1829d11d92d0ee042afd3567b2,how about and the rest of them be border security guards,0
en_30e88295f1f0b8bd2b8b30e1b9db2365,urgent the hebrew media nir dabouri kochavi gives green light to airstrikes in west bank as well as expanding operation,0
en_6684167e3356f0eb6c2e17e07478ecee,mike pence i couldnt care any less,0
en_7d22aabaa2a0174f37b4c26a2500973a,incompatible with unrestricted capitalism as well,0
en_913ec190bac425881c0270b9bb5305a8,he loves putin for a reason checks putin playbook,1
en_d7ce261c9a6a833d479c91f8e42a462b,california democrats say kamala harris could have upper,0
en_3f11da59e96eec9defd458f7771b9d03,all i can see is a ukro nazi in its natural habitat denazification is going on,1
en_b828bba08a3beefae594e4af33713c95,uk announces million military aid package for ukraine kyivindependent comukannounces,0
en_2ee2f3ff4caa1f11faa8e15366e14831,car slams into parked suv protecting joe bidens,0
en_2215d003d9f240da2b0a4d62bd0d30c8,peter meijer would second term for donald trumpmidland daily,0
en_6da2e9960b34e50710483f556eb954f6,sanctions dont do anything lol,0
en_621d7bfad098f5d4f9adf4a00d24e002,unc star fiona crawley recounts unlikely run at u s openthe daily tar heel,0
en_28b214dab9127100abeffec84f8c0bba,washougal man in maga hat case settles with former,0
en_59749d011d78380ec6b3a226ddb5390d,fake news the guy in the photo above has several chins,0
en_40aee95df9ab2b87dce4ea379d2c0f34,last day early voting in texas,0
en_269a8a005480c7d3c18a3a5cb16c087b,biden kamala harris what you think,0
en_dbcca844ca9a2ca9b9c50d29a10a30e2,really impressive btw that youtube can simultaneously act as a distributive sieve for rightwing antisociality erect an iron dome for censoring nudity,1
en_eb634cc96638799d27f2dfb4e041dc16,werent they here legally as asylum seekers,0
en_89f8a27709721a4dec222651ac2be39e,you dont have to wait early voting still an option,0
en_858f929d068790655cc585965a87f5aa,ss there would be no gaza and the west bank,0
en_7beed9f2373a0bf7e7b7992ee3e372f7,trump inspired his supporters to commit acts of physical violence on jan and knowingly spread an objectively false narrative about election fraud in the election special counsel jack smith said,1
en_2f230dc24ff09776d5bac38b7d97d928,nato expansion isnt up to debate kremlin propagandist if it bothers you ethnic cleansing killer of lidl ukrainian children i dont care if youre bothered if it bothers vladimir putin i care even less antifa nafoarticle joyfulusbastards whackamoleisfun,1
en_db3a8af16f9017b81cfeadb7935f7519,asu jewish studies gives context to israelipalestinian,0
en_aa9cf37841d029d7330c787bfcc00518,the child fears deportation in his eyes,0
en_45fd25d60a0b5c8d73e1eb09d4d1b61e,eu leaders call for more military aid kyivindependent comeuleadersc to kyiv pledge ukraines inclusion in key decisions,0
en_22e32a1bdaefc83587d771d8cbeb68ad,the attacks on downtrodden refugees and asylumseekers begin,1
en_b53e5c05021de23c008a3a0cf52bda0b,isnt there supposed to be propalestine activists on this platform dont you want to say free palestine without getting banned,1
en_1291c21ad1f3f9e32b219c074b020ae6,no you are the enemy of the people resign,1
en_ba617ebcf7a55681f356ddd7ba02aa4e,please look for our children in gaza,0
en_ae83508e3315310c037e908b38b545ce,azerbaijani flights to israeli arms export base spike,0
en_8a24745e78f06e0f72292d19f88fe3f5,senator special guest at last pierce county gop meetingcedar county,0
en_13f917b1a192ebf3f0fec8872d90f7d7,one thing that really bothered me was that media kept calling all the swing states before counting was completed,0
en_54445571ddb550786e328878b0a2d9ea,trial to determine election recount requesters debt awaits,0
en_b28b21c574bf74d78b7a8bab13796fbe,he complaining about the border while biden gets mexico to pay billion for border security,0
en_4dae59235961e5c90705ddbab0e8c78a,if zelensky dies i might cry,0
en_1a1c1823353834bebd4717475c1320a9,local dem gop leaders condemn political,0
en_fffe25ab7fc98cdc6c93f4819be07b1e,senate unanimously adopts bill blocking us military aid,0
en_725376b7deb2b678ba708f5c9e86c841,imagine blaming this on israel instead of hamas,1
en_1b9530943f804c65e9d37beb8e27d257,gasd board yates gender identity not an issue,0
en_40df09702897288ceeb6d6ddb47daec1,greene booted from house republicans freedom,0
en_1d9e4d48c169fdf12b593a81bc3d8abf,that didnt work out so well last time the problem is not who is allowed to vote but who is prevented from voting gerrymandering and various other voter suppression techniques have played a huge part in determining the outcomes of some recent elections,0
en_687668a8c953f14634d41c47058c6838,the west bank got too many police,0
en_b3bf07c898fbecb07f8395a569e674ee,doesnt she believe in open borders,0
en_8a498c6903e5f70923c46d3f24a990fb,thank you patty and senate democrats,0
en_508f94a3ff3ced1628e6f5dd148ce2a8,joe biden and donald trump reignite obamacare debate,0
en_65746e7cc76aea27348abc71cd0204df,donald trump is a white supremacist,1
en_b669553b5d77e2601a9aaf29b5968bc7,bidenharris wide open borders have mass casualties many more to follow,1
en_16cbddcc401e95095db3cad90164eaa0,yep open borders high crime rates inflation food shortages,1
en_6e214ea8e214af8cfb2f331b7be5a8bd,what issues are most important to likely gop,0
en_6babc91ac4611dc4a63523971aa72069,does nigeria immigration issue visa,0
en_b71a67c08fd3aee925b0d7739594f2ad,panel of journalists discuss fake news at spj,0
en_030d568746ae8cb1dedcd5750f785adf,iran tormentor of us presidents tests joe bidenthe christian science monitor,0
en_716acd8890b0798202ea4a58fab07fce,asylum seekers not immigrants but then you already know that,1
en_640180bb71a8c2dd9c6dd6b384c2bf08,fck joe biden arrest joe biden for treason,1
en_49d033b554865ae55ba65d500ddfb2c1,can trumpism be defeated absolutely heres how bernie sanders,1
en_cd5543666f96d9a37c3da11e506381c8,the west bank is back in the news russian defense minister orders the withdrawal of troops from the entire west bank of dnipro river,0
en_04c1a7ecf7a9b66f55633cecf6774fa2,go ukraine i fully support ukraine and zelensky,0
en_e098187ff347921ab7833a829a0c30cb,the real imperialism is ukraine occupying donbass,1
en_e64738e41ff0193c65c2d09fdb928726,anti zionism anti jewish selfdetermination anti torah so antisemitism,1
en_7934c354d7d80f26d98e19730d2cf153,calls for action by exhamas leader put lapd sheriffs,0
en_93c93369963f149e5e5c466a5411f734,frontline border security kis ka under hoti hai please,0
en_6b9dea2827e148b8a07fac0334dc954a,idkshes taking on musk and h b visas as not part of s anti immigration stance,0
en_1914cdc0eb03db4b115bc521e699c641,the map in your kids classroom is wrong nablus is not part of israel the people of nablus are not israeli citizens they are living under a belligerent military occupation which has to end as soon as possible,1
en_418d6b440e78a62a610006c7cc2ed7fa,the january th committee will undoubtedly prove trumps coup attempt the evidence is overwhelming,1
en_20f17e14126489b0ad32a637f90385a4,support for lgbt americsns includes those living in red states,0
en_75e630ebacf3bad13e26bee6688ba8a1,blue states are building back better than red states,0
en_f2b39a41b95431d610fa3c071bd33ddd,four officers are appointed to everett police department,0
en_5940703488da5e02329c9e35f0fecb7f,good time to be an antifascist and a race traitor and a class traitor and a feminist,1
en_74a30899f82f32e8d85ad969fd082ab3,still no sign of the word imperialism from cnn,0
en_35add69ea377957734007111e6646b75,boulder county gop refuses to certify,0
en_24b5d547d860423ceafbb2d0a9cf5886,you should be in prison for election fraud,1
en_8c9ab9896485ef961bfb280c35921d05,ukrainian refugees find comfort in sedalia,0
en_92b49ace1785173dd462c18a372a1ff6,bonutti technologies develops device to disinfect surfaces,0
en_1e4f42b3164ef1f1883afa3ac4cbb261,gop fires back at cartys accusers,0
en_e90d6462aa756fc717af389f891c92e5,ummm i thought the maga position was antiimmigration is there an exception for tax exempt billionaire servitude,1
en_cf3f4ae9c850708e72f3a4603a9e6996,former hamas leader khalid mashal who lives in luxury,0
en_21fea0ad9b104cd3910d808d4d0eceba,the electoral college is dei for red states,1
en_1e16fa711438df602118077651e9fe24,israel is a jewish state not a secular one ireland is a secular state not a catholic christian one also words on this,1
en_ac178ff475e9fd6e2e3c7e6da8511895,the same they did about the stolen election nothing,1
en_06fa6e73d9fd5dc0714ff78307a4cc3f,schill issues new statement on israelhamas war,0
en_baa585e5b07e668c0e3b4ea9b407c7b6,two stories from the israeli frontline,0
